asin,brand,product_title,price,image
B010V43VFA,Sony,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White),144.9,https://m.media-amazon.com/images/I/71iFTB59LEL._AC_UY218_ML3_.jpg
B011AC4U7A,Samsung,Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black,0.0,https://m.media-amazon.com/images/I/81cvwVzNoiL._AC_UY218_ML3_.jpg
B0134TVNSQ,Samsung,"Samsung Galaxy S6 Edge+, Black 64GB (Sprint)",0.0,https://m.media-amazon.com/images/I/81h0cGu5OcL._AC_UY218_ML3_.jpg
B013XAPUW6,Samsung,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)",399.99,https://m.media-amazon.com/images/I/814SsOj-45L._AC_UY218_ML3_.jpg
B014GCG150,Samsung,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",148.98,https://m.media-amazon.com/images/I/61alJun3JvL._AC_UY218_ML3_.jpg
B014V5XDV2,Samsung,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed),121.46,https://m.media-amazon.com/images/I/41Z9ulF4QML._AC_UY218_ML3_.jpg
B014VLTTC8,Samsung,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,290.0,https://m.media-amazon.com/images/I/51b2GW++SDL._AC_UY218_ML3_.jpg
B015ROR4PC,Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed),74.99,https://m.media-amazon.com/images/I/51qmSOmqU8L._AC_UY218_ML3_.jpg
B016WYTYFE,Samsung,Samsung Galaxy S5 SM-G900T - 16GB - Shimmery White Smart Phone - Unlocked (Renewed),0.0,https://m.media-amazon.com/images/I/71LiYjftkAL._AC_UY218_ML3_.jpg
B0172EEAQQ,Nokia,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only.",46.83,https://m.media-amazon.com/images/I/51X4GhYfx4L._AC_UY218_ML3_.jpg
B018OMP8ES,Samsung,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless),300.55,https://m.media-amazon.com/images/I/611pE6W+X0L._AC_UY218_ML3_.jpg
B018TUJE9U,Samsung,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - White,0.0,https://m.media-amazon.com/images/I/41TCEMfBV0L._AC_UY218_ML3_.jpg
B0192XJ0P6,Motorola,"Motorola XT1585 Turbo 2, (32GB) 5.4'' (White, Verizon)",0.0,https://m.media-amazon.com/images/I/61uo-nK+OAL._AC_UY218_ML3_.jpg
B019S654DO,Samsung,Samsung Galaxy S4 16GB Black SPH-L720T Tri-Band (Boost Mobile),0.0,https://m.media-amazon.com/images/I/71Bpvs8eUWL._AC_UY218_ML3_.jpg
B019TWO7DU,HUAWEI,"Huawei Nexus 6P unlocked smartphone, 64GB Gold (US Warranty)",0.0,https://m.media-amazon.com/images/I/81KkxM31+aL._AC_UY218_ML3_.jpg
B019VHBB32,Motorola,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black),239.99,https://m.media-amazon.com/images/I/51-mD4FoY3L._AC_UY218_ML3_.jpg
B01ATTBXY8,Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed),74.99,https://m.media-amazon.com/images/I/91oY6n78hhL._AC_UY218_ML3_.jpg
B01AUOS8BI,Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",239.98,https://m.media-amazon.com/images/I/71371BrehxL._AC_UY218_ML3_.jpg
B01BG1MW5C,Samsung,Samsung Galaxy Note 5 SM-N920T 32GB Black Smartphone for T-Mobile,0.0,https://m.media-amazon.com/images/I/61E7F2G7WaL._AC_UY218_ML3_.jpg
B01BHEBDVW,Motorola,Motorola Droid Maxx 2 XT1565 16 GB Verizon Phone w/ 21 MP Rear Camera - White,0.0,https://m.media-amazon.com/images/I/61rT0e5WKvL._AC_UY218_ML3_.jpg
B01BLSX96G,Samsung,Samsung Galaxy Grand Prime Prepaid Smartphone Family Mobile Powered by T-Mobile,0.0,https://m.media-amazon.com/images/I/91yzn+6dfTL._AC_UY218_ML3_.jpg
B01CJ3SCJ6,Samsung,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,284.98,https://m.media-amazon.com/images/I/71kSYOju0xL._AC_UY218_ML3_.jpg
B01CJ3SCN2,Samsung,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/71KB5PiwJAL._AC_UY218_ML3_.jpg
B01CJ3SF02,Samsung,"Samsung Galaxy GS7 Edge, Gold 32GB (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/51dtq9MFg0L._AC_UY218_ML3_.jpg
B01CN1RZY2,Samsung,Samsung Galaxy Note 5 SM-N920T 64gb - Unlocked Cellphone GSM - Platinum Gold (T - Mobile),0.0,https://m.media-amazon.com/images/I/91mI5Q-3b9L._AC_UY218_ML3_.jpg
B01CP4CGBE,Samsung,"Samsung Galaxy GS7 Edge, Gold 32GB (Sprint)",0.0,https://m.media-amazon.com/images/I/61jT71p9siL._AC_UY218_ML3_.jpg
B01CP4CGSC,Samsung,"Samsung Galaxy S7, G930P Gold 32GB (Sprint)",0.0,https://m.media-amazon.com/images/I/61LpF5AyA6L._AC_UY218_ML3_.jpg
B01CR1FQMG,Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",160.08,https://m.media-amazon.com/images/I/412jWjEIzKL._AC_UY218_ML3_.jpg
B01CU22RL0,Samsung,Samsung Galaxy S7 Edge Smartphone - GSM Unlocked - 32 GB - No Warranty - Black,0.0,https://m.media-amazon.com/images/I/71nfW0Q94DL._AC_UY218_ML3_.jpg
B01CYYYRNK,Samsung,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",248.7,https://m.media-amazon.com/images/I/419J7KwTxML._AC_UY218_ML3_.jpg
B01D0JV7AO,Samsung,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed),119.95,https://m.media-amazon.com/images/I/81cvwVzNoiL._AC_UY218_ML3_.jpg
B01D0JXCKW,Samsung,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed),159.99,https://m.media-amazon.com/images/I/71AJjAGch8L._AC_UY218_ML3_.jpg
B01D1J9BGU,Samsung,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,399.0,https://m.media-amazon.com/images/I/71ap4Pp+y0L._AC_UY218_ML3_.jpg
B01D4Z97UG,Samsung,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),122.99,https://m.media-amazon.com/images/I/61X4TVQJT4L._AC_UY218_ML3_.jpg
B01D53A7KG,Samsung,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),129.0,https://m.media-amazon.com/images/I/614sFnZbspL._AC_UY218_ML3_.jpg
B01DL9TVW4,Samsung,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",210.99,https://m.media-amazon.com/images/I/51y9qk-yEZL._AC_UY218_ML3_.jpg
B01DUPOOMG,Samsung,Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone,0.0,https://m.media-amazon.com/images/I/51Kli220o8L._AC_UY218_ML3_.jpg
B01DZ2CS4U,Samsung,Samsung Galaxy S7 32GB G930V Unlocked - Black,275.99,https://m.media-amazon.com/images/I/51i3dF4frhL._AC_UY218_ML3_.jpg
